postalCode,price,n_rooms,living_area,equipped_kitchen,fireplace,terrace,area_terrace,garden,area_garden,land_surface,n_facades,swimming_pool
9600.0,265000.0,4.0,168.0,1.0,0.0,1.0,20.0,1.0,82.0,182.0,2.0,0.0
4100.0,269000.0,3.0,110.0,1.0,0.0,1.0,15.0,1.0,120.0,231.0,3.0,1.0
9600.0,269000.0,5.0,302.0,1.0,0.0,1.0,45.0,1.0,555.0,1195.0,4.0,0.0
6800.0,269900.0,5.0,140.0,1.0,0.0,1.0,30.0,1.0,1000.0,1152.0,4.0,0.0
4000.0,274000.0,1.0,169.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0
9790.0,274000.0,4.0,145.0,1.0,0.0,1.0,25.0,1.0,180.0,270.0,2.0,0.0
4500.0,279000.0,3.0,290.0,1.0,1.0,1.0,10.0,1.0,100.0,204.0,4.0,0.0
4530.0,279000.0,2.0,107.0,1.0,1.0,1.0,12.0,1.0,230.0,479.0,4.0,0.0
4690.0,279000.0,3.0,194.0,1.0,0.0,1.0,64.0,1.0,160.0,165.0,3.0,0.0
4350.0,280000.0,4.0,205.0,1.0,0.0,1.0,35.0,1.0,200.0,456.0,3.0,0.0
4400.0,284000.0,3.0,132.0,1.0,0.0,1.0,52.0,1.0,50.0,306.0,4.0,0.0
6760.0,290000.0,4.0,331.0,1.0,0.0,1.0,11.0,0.0,0.0,244.0,3.0,0.0
1740.0,299000.0,3.0,166.0,1.0,0.0,1.0,18.0,0.0,0.0,124.0,2.0,0.0
4000.0,299000.0,4.0,239.0,1.0,0.0,0.0,0.0,0.0,0.0,108.0,2.0,0.0
4020.0,299000.0,2.0,190.0,1.0,1.0,1.0,25.0,0.0,0.0,130.0,2.0,0.0
4560.0,299000.0,4.0,262.0,1.0,1.0,1.0,60.0,1.0,547.0,739.0,4.0,0.0
1457.0,300000.0,2.0,102.0,1.0,1.0,0.0,0.0,1.0,557.0,670.0,4.0,0.0
4257.0,300000.0,3.0,190.0,1.0,0.0,1.0,30.0,1.0,430.0,659.0,2.0,0.0
2800.0,315000.0,2.0,172.0,1.0,0.0,0.0,0.0,0.0,0.0,189.0,2.0,0.0
4160.0,315000.0,3.0,125.0,1.0,1.0,1.0,20.0,1.0,1100.0,1240.0,4.0,0.0
6890.0,319900.0,3.0,150.0,1.0,0.0,1.0,35.0,1.0,1215.0,1335.0,4.0,0.0
6800.0,329000.0,5.0,140.0,1.0,0.0,1.0,800.0,1.0,200.0,1011.0,4.0,0.0
3380.0,339000.0,4.0,130.0,1.0,0.0,1.0,25.0,1.0,2500.0,3250.0,4.0,0.0
3300.0,345000.0,4.0,190.0,1.0,0.0,0.0,0.0,1.0,88.0,156.0,2.0,0.0
3000.0,348000.0,3.0,116.0,1.0,0.0,1.0,6.0,0.0,0.0,55.0,2.0,0.0
1570.0,349000.0,3.0,160.0,1.0,1.0,0.0,0.0,0.0,0.0,1330.0,3.0,0.0
1702.0,349000.0,2.0,215.0,1.0,0.0,1.0,18.0,0.0,0.0,244.0,3.0,0.0
1770.0,349000.0,3.0,180.0,1.0,0.0,1.0,25.0,1.0,150.0,256.0,2.0,0.0
1970.0,349000.0,3.0,80.0,1.0,0.0,1.0,28.0,1.0,60.0,170.0,3.0,0.0
2000.0,349000.0,3.0,181.0,1.0,1.0,1.0,9.0,1.0,23.0,122.0,2.0,0.0
2060.0,349000.0,3.0,181.0,1.0,1.0,1.0,9.0,1.0,23.0,122.0,2.0,0.0
6230.0,349000.0,5.0,200.0,1.0,0.0,1.0,25.0,1.0,350.0,447.0,2.0,0.0
9600.0,349900.0,5.0,226.0,1.0,0.0,0.0,0.0,1.0,18.0,151.0,2.0,0.0
4000.0,365000.0,3.0,223.0,1.0,0.0,1.0,326.0,1.0,163.0,352.0,3.0,0.0
1702.0,369000.0,3.0,157.0,1.0,0.0,1.0,18.0,0.0,0.0,227.0,3.0,0.0
1755.0,369000.0,3.0,180.0,1.0,1.0,1.0,24.0,0.0,0.0,1150.0,4.0,0.0
4537.0,369000.0,3.0,212.0,1.0,1.0,1.0,17.0,1.0,589.0,791.0,3.0,0.0
6941.0,369000.0,6.0,276.0,1.0,0.0,1.0,89.0,1.0,4985.0,5275.0,3.0,0.0
1760.0,370000.0,3.0,301.0,1.0,0.0,1.0,18.0,0.0,0.0,545.0,3.0,0.0
1930.0,370000.0,4.0,162.0,1.0,0.0,1.0,70.0,0.0,0.0,120.0,3.0,0.0
1083.0,375000.0,3.0,171.0,1.0,0.0,1.0,8.0,1.0,32.0,98.0,2.0,0.0
